0:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=5----(计算line)
1:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=7----(计算line)
2:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=9----(计算line)
3:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=5----(计算line)
4:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=7----(计算line)
5:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=9----(计算line)
6:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=5----(计算line)
7:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=7----(计算line)
8:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=9----(计算line)
9:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=5----(计算line)
10:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=7----(计算line)
11:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=9----(计算line)
12:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=5----(计算line)
13:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=7----(计算line)
14:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=9----(计算line)
15:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=5----(计算line)
16:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=7----(计算line)
17:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=9----(计算line)
18:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=5----(计算Radius和line)
19:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=7----(计算Radius和line)
20:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=9----(计算Radius和line)
21:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=5----(计算Radius和line)
22:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=7----(计算Radius和line)
23:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=9----(计算Radius和line)
24:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=5----(计算Radius和line)
25:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=7----(计算Radius和line)
26:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=9----(计算Radius和line)
