0:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=2----(计算line)
1:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=4----(计算line)
2:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=2----(计算line)
3:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=4----(计算line)
4:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=2----(计算line)
5:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=4----(计算line)
6:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=2----(计算line)
7:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=4----(计算line)
8:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=2----(计算line)
9:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=4----(计算line)
10:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=2----(计算line)
11:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=4----(计算line)
12:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=2----(计算Radius和line)
13:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=4----(计算Radius和line)
14:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=2----(计算Radius和line)
15:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=4----(计算Radius和line)
16:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=2----(计算Radius和line)
17:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=4----(计算Radius和line)
18:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=2----(计算Radius和line)
19:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=4----(计算Radius和line)
20:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=2----(计算Radius和line)
21:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=4----(计算Radius和line)
22:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=2----(计算Radius和line)
23:  bodyHeight（r）=5,fuzeflat=0,headflat=1,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=4----(计算Radius和line)
24:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=2----(计算line)
25:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=4----(计算line)
26:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=2----(计算line)
27:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=4----(计算line)
28:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=2----(计算line)
29:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=4----(计算line)
30:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=2----(计算line)
31:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=4----(计算line)
32:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=2----(计算line)
33:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=4----(计算line)
34:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=2----(计算line)
35:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=4----(计算line)
36:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=2----(计算Radius和line)
37:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=4----(计算Radius和line)
38:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=2----(计算Radius和line)
39:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=4----(计算Radius和line)
40:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=2----(计算Radius和line)
41:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=4----(计算Radius和line)
42:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=2----(计算Radius和line)
43:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=4----(计算Radius和line)
44:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=2----(计算Radius和line)
45:  bodyHeight（r）=5,fuzeflat=0,headflat=2,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=4----(计算Radius和line)
