0:  bodyHeight£¨r£©=5,fuzelength=1, headlength=3, bodylength=54, rearlength=2, rearheigth=2
1:  bodyHeight£¨r£©=5,fuzelength=1, headlength=3, bodylength=54, rearlength=2, rearheigth=4
2:  bodyHeight£¨r£©=5,fuzelength=1, headlength=3, bodylength=51, rearlength=5, rearheigth=2
3:  bodyHeight£¨r£©=5,fuzelength=1, headlength=3, bodylength=51, rearlength=5, rearheigth=4
4:  bodyHeight£¨r£©=5,fuzelength=1, headlength=3, bodylength=48, rearlength=8, rearheigth=2
5:  bodyHeight£¨r£©=5,fuzelength=1, headlength=3, bodylength=48, rearlength=8, rearheigth=4
6:  bodyHeight£¨r£©=5,fuzelength=1, headlength=6, bodylength=51, rearlength=2, rearheigth=2
7:  bodyHeight£¨r£©=5,fuzelength=1, headlength=6, bodylength=51, rearlength=2, rearheigth=4
8:  bodyHeight£¨r£©=5,fuzelength=1, headlength=6, bodylength=48, rearlength=5, rearheigth=2
9:  bodyHeight£¨r£©=5,fuzelength=1, headlength=6, bodylength=48, rearlength=5, rearheigth=4
10:  bodyHeight£¨r£©=5,fuzelength=1, headlength=6, bodylength=45, rearlength=8, rearheigth=2
11:  bodyHeight£¨r£©=5,fuzelength=1, headlength=6, bodylength=45, rearlength=8, rearheigth=4
12:  bodyHeight£¨r£©=5,fuzelength=1, headlength=9, bodylength=48, rearlength=2, rearheigth=2
13:  bodyHeight£¨r£©=5,fuzelength=1, headlength=9, bodylength=48, rearlength=2, rearheigth=4
14:  bodyHeight£¨r£©=5,fuzelength=1, headlength=9, bodylength=45, rearlength=5, rearheigth=2
15:  bodyHeight£¨r£©=5,fuzelength=1, headlength=9, bodylength=45, rearlength=5, rearheigth=4
16:  bodyHeight£¨r£©=5,fuzelength=1, headlength=9, bodylength=42, rearlength=8, rearheigth=2
17:  bodyHeight£¨r£©=5,fuzelength=1, headlength=9, bodylength=42, rearlength=8, rearheigth=4
18:  bodyHeight£¨r£©=5,fuzelength=1, headlength=12, bodylength=45, rearlength=2, rearheigth=2
19:  bodyHeight£¨r£©=5,fuzelength=1, headlength=12, bodylength=45, rearlength=2, rearheigth=4
20:  bodyHeight£¨r£©=5,fuzelength=1, headlength=12, bodylength=42, rearlength=5, rearheigth=2
21:  bodyHeight£¨r£©=5,fuzelength=1, headlength=12, bodylength=42, rearlength=5, rearheigth=4
22:  bodyHeight£¨r£©=5,fuzelength=1, headlength=12, bodylength=39, rearlength=8, rearheigth=2
23:  bodyHeight£¨r£©=5,fuzelength=1, headlength=12, bodylength=39, rearlength=8, rearheigth=4
24:  bodyHeight£¨r£©=5,fuzelength=1, headlength=15, bodylength=42, rearlength=2, rearheigth=2
25:  bodyHeight£¨r£©=5,fuzelength=1, headlength=15, bodylength=42, rearlength=2, rearheigth=4
26:  bodyHeight£¨r£©=5,fuzelength=1, headlength=15, bodylength=39, rearlength=5, rearheigth=2
27:  bodyHeight£¨r£©=5,fuzelength=1, headlength=15, bodylength=39, rearlength=5, rearheigth=4
28:  bodyHeight£¨r£©=5,fuzelength=1, headlength=15, bodylength=36, rearlength=8, rearheigth=2
29:  bodyHeight£¨r£©=5,fuzelength=1, headlength=15, bodylength=36, rearlength=8, rearheigth=4
30:  bodyHeight£¨r£©=5,fuzelength=1, headlength=18, bodylength=39, rearlength=2, rearheigth=2
31:  bodyHeight£¨r£©=5,fuzelength=1, headlength=18, bodylength=39, rearlength=2, rearheigth=4
32:  bodyHeight£¨r£©=5,fuzelength=1, headlength=18, bodylength=36, rearlength=5, rearheigth=2
33:  bodyHeight£¨r£©=5,fuzelength=1, headlength=18, bodylength=36, rearlength=5, rearheigth=4
34:  bodyHeight£¨r£©=5,fuzelength=1, headlength=18, bodylength=33, rearlength=8, rearheigth=2
35:  bodyHeight£¨r£©=5,fuzelength=1, headlength=18, bodylength=33, rearlength=8, rearheigth=4
36:  bodyHeight£¨r£©=5,fuzelength=1, headlength=21, bodylength=36, rearlength=2, rearheigth=2
37:  bodyHeight£¨r£©=5,fuzelength=1, headlength=21, bodylength=36, rearlength=2, rearheigth=4
38:  bodyHeight£¨r£©=5,fuzelength=1, headlength=21, bodylength=33, rearlength=5, rearheigth=2
39:  bodyHeight£¨r£©=5,fuzelength=1, headlength=21, bodylength=33, rearlength=5, rearheigth=4
40:  bodyHeight£¨r£©=5,fuzelength=1, headlength=21, bodylength=30, rearlength=8, rearheigth=2
41:  bodyHeight£¨r£©=5,fuzelength=1, headlength=21, bodylength=30, rearlength=8, rearheigth=4
42:  bodyHeight£¨r£©=5,fuzelength=1, headlength=24, bodylength=33, rearlength=2, rearheigth=2
43:  bodyHeight£¨r£©=5,fuzelength=1, headlength=24, bodylength=33, rearlength=2, rearheigth=4
44:  bodyHeight£¨r£©=5,fuzelength=1, headlength=24, bodylength=30, rearlength=5, rearheigth=2
45:  bodyHeight£¨r£©=5,fuzelength=1, headlength=24, bodylength=30, rearlength=5, rearheigth=4
46:  bodyHeight£¨r£©=5,fuzelength=1, headlength=24, bodylength=27, rearlength=8, rearheigth=2
47:  bodyHeight£¨r£©=5,fuzelength=1, headlength=24, bodylength=27, rearlength=8, rearheigth=4
48:  bodyHeight£¨r£©=5,fuzelength=1, headlength=27, bodylength=30, rearlength=2, rearheigth=2
49:  bodyHeight£¨r£©=5,fuzelength=1, headlength=27, bodylength=30, rearlength=2, rearheigth=4
50:  bodyHeight£¨r£©=5,fuzelength=1, headlength=27, bodylength=27, rearlength=5, rearheigth=2
51:  bodyHeight£¨r£©=5,fuzelength=1, headlength=27, bodylength=27, rearlength=5, rearheigth=4
52:  bodyHeight£¨r£©=5,fuzelength=1, headlength=27, bodylength=24, rearlength=8, rearheigth=2
53:  bodyHeight£¨r£©=5,fuzelength=1, headlength=27, bodylength=24, rearlength=8, rearheigth=4
54:  bodyHeight£¨r£©=5,fuzelength=1, headlength=30, bodylength=27, rearlength=2, rearheigth=2
55:  bodyHeight£¨r£©=5,fuzelength=1, headlength=30, bodylength=27, rearlength=2, rearheigth=4
56:  bodyHeight£¨r£©=5,fuzelength=1, headlength=30, bodylength=24, rearlength=5, rearheigth=2
57:  bodyHeight£¨r£©=5,fuzelength=1, headlength=30, bodylength=24, rearlength=5, rearheigth=4
58:  bodyHeight£¨r£©=5,fuzelength=1, headlength=30, bodylength=21, rearlength=8, rearheigth=2
59:  bodyHeight£¨r£©=5,fuzelength=1, headlength=30, bodylength=21, rearlength=8, rearheigth=4
60:  bodyHeight£¨r£©=5,fuzelength=1, headlength=33, bodylength=24, rearlength=2, rearheigth=2
